tempo;Temperatura
17/12/2022 00:04;28.97
17/12/2022 00:09;28.89
17/12/2022 00:14;28.85
17/12/2022 00:19;28.82
17/12/2022 00:24;28.78
17/12/2022 00:29;28.77
17/12/2022 00:34;28.73
17/12/2022 00:39;28.66
17/12/2022 00:44;28.62
17/12/2022 00:49;28.59
17/12/2022 07:46;29.65
17/12/2022 07:51;29.11
17/12/2022 08:01;28.52
