temp;Umidade
12/17/2022 00:04;67.24
12/17/2022 00:09;67.31
12/17/2022 00:14;67.38
12/17/2022 00:19;67.50
12/17/2022 00:24;67.61
12/17/2022 00:29;67.68
12/17/2022 00:34;67.79
12/17/2022 00:39;67.99
12/17/2022 00:44;68.26
12/17/2022 00:49;68.52
12/17/2022 07:46;65.96
12/17/2022 07:51;65.88
12/17/2022 08:01;67.50
